IdLugarSalida,Lugar Salida,IdTranspSalidad,Transporte Internacional de Salida,FechaSalida,IdFecSalida,FechaEntrada,IdFecEntrada,IdNacionalidad,Pais,IdDeptoResidencia,Departamento,IdMotivo,Motivo,IdOcupacion,Ocupacion,IdNivelEstudio,Estudio,IdDestino,Destino,IdAlojamiento,Alojamiento,IdLugarIngreso,Lugar Ingreso,IdTranspIngreso,Transporte Internacional de Ingreso,IdTranspLocal,Trasporte Local,Estadia,Gente,GastoTotal,GastoAlojamiento,GastoAlimentacion,GastoTransporteInternac,GatoTransporteLocal,GastoCultural,GastoTours,GastoCompras,GastoResto,Coef,CoefTot
3,Aeropuerto de Carrasco,1,Aereo,2022-04-29,15459,2022-05-09,15469,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,31,Chile,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,10,2,1843.45,1021.82,281.37,934.92,75.69,0.0,0.0,418.43,46.13,305.49,610.98
8,Paysandú,2,Terrestre Auto,2025-09-05,16684,2025-09-05,16684,1,Uruguay,61,Paysandu,10,Compras,1,"Jubilado, Pensionista",,,10,Argentina,31,Ninguno,8,Paysandú,2,Terrestre Auto,1,Auto propio,1,2,125.09,0.0,0.0,0.0,0.0,0.0,0.0,125.09,0.0,460.75,921.5
8,Paysandú,2,Terrestre Auto,2022-10-24,15637,2022-10-28,15641,1,Uruguay,53,Rivera,1,"Ocio, Recreo, Vacaciones",11,"Patron, Com, Ind, Prod Agrop",4.0,Secundaria completa,10,Argentina,1,Hotel,8,Paysandú,2,Terrestre Auto,1,Auto propio,4,2,458.0,96.58,88.55,0.0,110.42,58.46,0.0,103.99,0.0,520.78,1041.56
3,Aeropuerto de Carrasco,1,Aereo,2025-09-20,16699,2025-09-29,16708,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",27,Profesional dependiente,,,31,Chile,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,9,2,1000.0,362.72,298.39,0.0,119.23,0.0,0.0,219.65,0.0,306.69,613.37
1,Colonia,5,Maritimo - Fluvial,2022-04-19,15449,2022-04-23,15453,1,Uruguay,31,Maldonado,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,5,Ninguno,4,6,2186.97,400.0,439.7,400.0,601.52,0.0,0.0,745.74,0.0,500.05,3000.3
3,Aeropuerto de Carrasco,1,Aereo,2017-03-12,13585,2017-03-17,13590,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,3,Estudiante,5.0,Terciaria incompleta,31,Chile,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,5,1,1140.0,0.0,301.88,360.0,0.0,262.5,0.0,300.0,275.63,116.24,116.24
3,Aeropuerto de Carrasco,1,Aereo,2024-05-31,16222,2024-06-12,16234,1,Uruguay,21,Montevideo,3,Trabajo / Profesion,26,Profesional independiente,,,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,12,1,4000.0,1556.53,1501.2,2000.0,942.27,0.0,0.0,0.0,0.0,205.14,205.14
10,Salto,2,Terrestre Auto,2022-09-02,15585,2022-09-05,15588,1,Uruguay,60,Salto,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,3,2,300.0,97.06,90.33,0.0,112.61,0.0,0.0,0.0,0.0,449.56,899.11
4,Chuy,2,Terrestre Auto,2025-06-16,16603,2025-06-27,16614,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",26,Profesional independiente,,,20,Brasil,30,Vivienda arrendada X plataforma,4,Chuy,2,Terrestre Auto,1,Auto propio,11,2,3000.0,1099.5,733.68,0.0,299.38,469.53,0.0,397.91,0.0,14.6,29.21
1,Colonia,5,Maritimo - Fluvial,2018-09-30,14152,2018-10-02,14154,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,2,Ama de casa,3.0,Secundaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,2,1,97.31,0.0,0.0,74.5,0.0,0.0,0.0,91.22,6.08,259.32,259.32
8,Paysandú,2,Terrestre Auto,2017-04-26,13630,2017-04-28,13632,1,Uruguay,43,Tacuarembo,3,Trabajo / Profesion,13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,1,Hotel,8,Paysandú,2,Terrestre Auto,0,Sin Datos,2,2,250.59,63.82,37.36,0.0,17.12,77.82,0.0,0.0,54.48,166.77,333.54
3,Aeropuerto de Carrasco,1,Aereo,2025-09-15,16694,2025-09-22,16701,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",24,Trabajador Independiente,,,32,Resto Sud America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,6,Otros,7,1,4323.48,2188.0,1677.72,676.52,457.77,0.0,0.0,0.0,0.0,306.69,306.69
8,Paysandú,2,Terrestre Auto,2019-12-23,14601,2019-12-26,14604,1,Uruguay,61,Paysandu,2,Visita familiares / amigos,16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,2,Terrestre Auto,1,Auto propio,3,2,136.88,0.0,6.57,0.0,28.82,0.0,0.0,90.77,10.72,350.87,701.74
